hgnc_symbol	chromosome_name
SNORD114-30	14
AC097173.1	4
RNU6-711P	17
SNORD114-23	14
RNU6-1046P	14
AC026740.3	5
RNU4-20P	12
RN7SL178P	8
AL391827.2	10
RNU6-570P	1
RN7SL678P	21
RNU6-1200P	3
AL139113.1	9
SNORA77B	22
AC013828.1	11
RN7SL321P	3
MIR604	10
RN7SKP203	2
MIR7856	1
MIR6507	10
MIR8070	11
RNU6-366P	14
RNU6-681P	3
MIR4681	10
MIR34C	11
RNA5SP147	3
MIR6747	11
AL451051.1	1
MIR17	13
MIR5579	11
RNY1P1	13
RNU6-684P	14
MIR4494	12
MIR4504	14
MIR3908	12
SCARNA21	17
MIR5701-1	15
MIR15A	13
AC074367.2	2
MIR4509-3	15
MIR7855	14
MIR7-2	15
AC007325.1	KI270734.1
RN7SL800P	17
MIR329-1	14
MIR635	17
MIR656	14
AC008013.1	12
MIR1268B	17
MIR4319	18
MIR373	19
RNU6-274P	7
MIR5695	19
MIR6804	19
MIR515-1	19
RNU6ATAC33P	11
MIR4263	2
MIR520A	19
MIR6508	21
AL138499.1	14
MIR4782	2
MIR1248	3
RNU6-692P	2
MIR572	4
MIR6888	2
MIR4275	4
RNA5SP409	16
MIR125B2	21
MIR3945	4
RNU6-700P	12
MIR4638	5
MIR4290	9
MIR3654	7
MIR6081	9
RNU4-41P	12
MIR548V	8
MIR514A3	X
MIR3150A	8
BX927235.3	CHR_HSCHR6_MHC_MANN_CTG1
MIR6895	X
RNU6-499P	4
MIRLET7F2	X
AC005787.1	19
RN7SKP39	10
MIR92A2	X
RN7SKP142	16
SNORA53	12
RNVU1-14	1
AC010127.1	2
AL031685.2	20
RNU4-59P	1
RNU6-513P	22
RNA5SP320	10
RNA5SP24	13
SNORD12	20
CHRFAM7A	CHR_HSCHR15_4_CTG8
RN7SKP28	4
RNA5SP169	4
RNA5SP535	11
RNU1-20P	3
RNU6-285P	8
RNU7-26P	6
SNORA50A	16
AC015884.3	17
RN7SKP186	6
AL049757.1	22
RN7SL182P	3
AC111186.1	17
RNU6-926P	21
RNU1-136P	6
RNU6-1123P	11
RN7SL623P	5
RNU7-20P	7
AL031681.1	20
SCARNA22	4
AL365223.1	6
RNU7-141P	20
RNA5SP459	18
AC096917.1	3
RNU6-483P	3
RN7SL286P	15
AC236668.1	X
RNU7-157P	7
AC103725.1	8
SNORD6	11
SNORD32A	19
RN7SL188P	11
AC100840.1	15
RNA5SP488	21
AL499604.1	9
SNORA15B-2	7
RN7SL531P	2
RNU4ATAC12P	12
AP003041.3	11
CR753842.2	CHR_HSCHR6_MHC_DBB_CTG1
RNU6-48P	1
AC007956.1	14
SNORD117	CHR_HSCHR6_MHC_MANN_CTG1
RN7SL12P	11
RNVU1-2A	1
AC008128.1	12
AP002848.1	8
RNU6-311P	11
AC019117.1	7
AC140119.1	3
AC098820.1	2
RNU6-738P	5
RNU6-643P	6
RNU6-1231P	10
AC084854.1	15
RN7SKP149	X
RNU6-828P	1
MBOAT7	CHR_HSCHR19LRC_LRC_T_CTG3_1
RNU6-378P	5
AC243913.1	CHR_HSCHR15_4_CTG8
RNU6-1053P	4
RN7SL586P	14
AL354980.1	1
RN7SKP114	9
AC090260.1	15
RNU6-739P	3
SNORA79B	14
AC097525.1	2
SNORD113-7	14
RNU4-61P	1
AC211486.8	7
RNU6-545P	12
RNU1-106P	8
RNU6-1025P	11
RNU7-161P	5
MIR4425	1
RN7SL628P	15
SNORD48	CHR_HSCHR6_MHC_DBB_CTG1
RN7SL318P	8
MIR4297	10
RNU6-1148P	5
RNA5SP212	6
MIR3181	16
RN7SL236P	17
RNU7-57P	1
MIR140	16
MIR3972	1
RNU1-155P	1
MIR553	1
MIR3678	17
RN7SL67P	12
RN7SL822P	4
MIR205	1
MIR371B	19
RNU6-1277P	14
SNORD45C	1
MIR26A2	12
MIR4757	2
RNU6-632P	10
RNU6-1267P	17
MIR665	14
MIR559	2
MIR412	14
AC022415.1	19
RNU6-831P	18
MIR4776-2	2
MIR4538	14
SNORD14C	11
MIR4535	22
RNU6-495P	22
MIR4509-2	15
SNORA80A	21
MIR5572	15
MIR26A1	3
RNU7-7P	X
AL390119.1	1
MIR549A	15
SNORD138	5
MIR193A	17
RNU2-49P	5
AC012377.1	15
MIR1289-2	5
MIR4429	2
RN7SL853P	15
MIR6873	6
AC012572.1	18
MIR4267	2
AL392105.1	9
MIR6509	7
MIR6810	2
RN7SKP220	10
RNA5SP446	17
MIR548F4	7
MIR941-2	20
RNU6-307P	1
MIR6841	8
AL162739.1	1
MIR885	3
MIR660	X
RNA5SP157	4
MIR196B	7
RNA5SP389	14
RN7SKP284	3
MIR3610	8
RNU6-751P	19
RN7SKP253	4
MIR1302-7	8
AL137790.1	1
AL627230.2	9
AC004079.2	7
MIRLET7F1	9
RN7SKP63	22
RN7SKP289	12
MIR361	X
MIR513C	X
RN7SKP19	1
AL138690.2	13
RNU6-376P	11
RNA5SP482	20
SNORD115-25	15
AC006583.1	3
AC012572.4	CHR_HSCHR18_ALT21_CTG2_1
AC090469.1	11
SNORD116-3	15
AL929472.5	1
AC010240.1	5
RNVU1-28	1
RNA5SP123	3
RNU6-252P	14
RNU6-929P	20
AC107067.1	4
AC144587.1	CHR_HSCHR5_2_CTG1_1
RNU6-87P	12
AC011994.1	2
SNORD70	2
